Date,High,Average,Low,Close,,,Date,High,Average,Low,Forecast,error
01-08-2016,35.900002,34.945002,33.990002,35.889999,,,01-10-2020,56.23,49.9200005,43.610001,57.97,-14%
01-09-2016,38.049999,36.555,35.060001,37.75,,,01-11-2020,48.5,46.370001,44.240002,58.47,-21%
01-10-2016,38.360001,36.535,34.709999,34.869999,,,01-12-2020,52.650002,48.945002,45.240002,58.95,-17%
01-11-2016,35.66,34.539999,33.419998,34.700001,,,01-01-2021,63.950001,56.6400015,49.330002,59.45,-5%
01-12-2016,37.349998,35.4549995,33.560001,36.27,,,01-02-2021,63.540001,59.625,55.709999,59.95,-1%
01-01-2017,38.450001,37.32,36.189999,36.82,,,01-03-2021,67.440002,62.675001,57.91,60.40,4%
01-02-2017,36.950001,35.8950005,34.84,36.200001,,,01-04-2021,68.489998,62.779999,57.07,60.90,3%
01-03-2017,36.299999,35.4799995,34.66,36.07,,,01-05-2021,58.009998,55.714998,53.419998,61.38,-9%
01-04-2017,37.5,36.3549995,35.209999,36.150002,,,01-06-2021,58.419998,56.759998,55.099998,61.88,-8%
01-05-2017,37.169998,36.094999,35.02,36.110001,,,01-07-2021,57.009998,55.8999995,54.790001,62.37,-10%
01-06-2017,36.57,34.955,33.34,33.740002,,,09-07-2021,56.105,55.7075005,55.310001,62.49,-11%
01-07-2017,35.860001,34.5450005,33.23,35.470001,,,,,,,,
01-08-2017,36.700001,35.540001,34.380001,35.07,,,,,,,,
01-09-2017,38.150002,36.540001,34.93,38.080002,,,,,,,,
01-10-2017,45.799999,41.9400005,38.080002,45.490002,,,,,,,,
01-11-2017,47.299999,45.5349995,43.77,44.84,,,,,,,,
01-12-2017,47.639999,45.1549985,42.669998,46.16,,,,,,,,
01-01-2018,50.849998,46.6449985,42.439999,48.139999,,,,,,,,
01-02-2018,50.900002,46.4700015,42.040001,49.290001,,,,,,,,
01-03-2018,53.779999,50.369999,46.959999,52.080002,,,,,,,,
01-04-2018,55.790001,51.540001,47.290001,51.619999,,,,,,,,
01-05-2018,56.200001,53.6000005,51,55.200001,,,,,,,,
01-06-2018,57.599998,53.049999,48.5,49.709999,,,,,,,,
01-07-2018,53.299999,49.8649995,46.43,48.099998,,,,,,,,
01-08-2018,50.599998,48.3949985,46.189999,48.43,,,,,,,,
01-09-2018,48.43,46.2450005,44.060001,47.290001,,,,,,,,
01-10-2018,49.720001,46.040001,42.360001,46.880001,,,,,,,,
01-11-2018,49.32,47.92,46.52,49.310001,,,,,,,,
01-12-2018,50.5,47.004999,43.509998,46.93,,,,,,,,
01-01-2019,50.040001,47.215,44.389999,47.119999,,,,,,,,
01-02-2019,53.610001,50.3099995,47.009998,52.959999,,,,,,,,
01-03-2019,54.990002,53.3450015,51.700001,53.700001,,,,,,,,
01-04-2019,59.59,55.2299995,50.869999,51.040001,,,,,,,,
01-05-2019,51.82,47.3400005,42.860001,44.040001,,,,,,,,
01-06-2019,48.48,45.8400005,43.200001,47.869999,,,,,,,,
01-07-2019,53.5,50.285,47.07,50.549999,,,,,,,,
01-08-2019,51.889999,48.344999,44.799999,47.41,,,,,,,,
01-09-2019,53.330002,49.915001,46.5,51.529999,,,,,,,,
01-10-2019,57.240002,52.8850005,48.529999,56.529999,,,,,,,,
01-11-2019,59.130001,57.375,55.619999,58.049999,,,,,,,,
01-12-2019,60.48,58.115,55.75,59.849998,,,,,,,,
01-01-2020,69.290001,63.9050005,58.52,63.93,,,,,,,,
01-02-2020,68.089996,60.844997,53.599998,55.52,,,,,,,,
01-03-2020,59.02,51.3250005,43.630001,54.119999,,,,,,,,
01-04-2020,62.130001,56.675001,51.220001,59.98,,,,,,,,
01-05-2020,64.139999,60.1199985,56.099998,62.93,,,,,,,,
01-06-2020,65.110001,60.9349995,56.759998,59.830002,,,,,,,,
01-07-2020,61.93,54.4500005,46.970001,47.73,,,,,,,,
01-08-2020,51.5,49.6000005,47.700001,50.950001,,,,,,,,
01-09-2020,52.68,50.549999,48.419998,51.779999,,,,,,,,
01-10-2020,56.23,49.9200005,43.610001,44.279999,,,,,,,,
01-11-2020,48.5,46.370001,44.240002,48.349998,,,,,,,,
01-12-2020,52.650002,48.945002,45.240002,49.82,,,,,,,,
01-01-2021,63.950001,56.6400015,49.330002,55.509998,,,,,,,,
01-02-2021,63.540001,59.625,55.709999,60.779999,,,,,,,,
01-03-2021,67.440002,62.675001,57.91,64,,,,,,,,
01-04-2021,68.489998,62.779999,57.07,57.529999,,,,,,,,
01-05-2021,58.009998,55.714998,53.419998,57.119999,,,,,,,,
01-06-2021,58.419998,56.759998,55.099998,56.139999,,,,,,,,
01-07-2021,57.009998,55.8999995,54.790001,55.990002,,,,,,,,
09-07-2021,56.105,55.7075005,55.310001,55.990002,,,,,,,,
